"","AverageWorkTime","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeCount","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","Over18","PercentSalaryHike","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating"
"20",9.2935557960558,38,"No","Travel_Rarely","Research & Development",8,"3","Life Sciences",1,"Female","1","Manager","Divorced",68700,1,"Y",11,8,"1",8,5,8,7,7,"1","1","3","3","3"
"21",7.59077825670498,26,"No","Travel_Frequently","Research & Development",1,"4","Other",1,"Male","2","Laboratory Technician","Divorced",104470,1,"Y",18,8,"0",6,3,6,1,4,"3","2","1","3","3"
"22",6.00861349546972,50,"No","Travel_Rarely","Sales",8,"4","Life Sciences",1,"Male","1","Research Scientist","Divorced",96670,3,"Y",23,8,"0",28,2,10,1,6,"1","2","2","2","4"
"23",8.40210847701149,53,"No","Travel_Rarely","Research & Development",11,"4","Life Sciences",1,"Female","2","Research Scientist","Married",21480,3,"Y",11,8,"0",21,2,5,1,3,"3","3","2","3","3"
"25",7.09316738816739,29,"No","Travel_Frequently","Research & Development",16,"4","Medical",1,"Male","1","Laboratory Technician","Single",65130,1,"Y",11,8,"1",10,2,10,0,9,"2","4","2","3","3"
"26",9.3620020746888,55,"No","Travel_Rarely","Research & Development",1,"4","Other",1,"Female","1","Research Scientist","Married",67990,3,"Y",11,8,"0",12,2,10,0,8,"2","4","3","3","3"
"27",10.9771234309623,26,"No","Travel_Frequently","Research & Development",9,"3","Life Sciences",1,"Female","1","Manager","Married",162910,1,"Y",22,8,"0",5,3,5,3,3,"1","1","3","3","4"
"28",7.60444444444444,37,"No","Travel_Rarely","Sales",5,"1","Marketing",1,"Male","1","Research Scientist","Single",27050,1,"Y",11,8,"0",17,2,17,5,7,"4","4","3","3","3"
"29",10.977585733882,44,"Yes","Travel_Frequently","Research & Development",1,"2","Medical",1,"Male","2","Research Scientist","Divorced",103330,3,"Y",14,8,"1",19,2,1,0,0,"4","3","1","2","3"
"30",6.83127536231884,38,"No","Travel_Rarely","Sales",2,"3","Marketing",1,"Female","1","Manager","Divorced",44480,9,"Y",12,8,"0",10,3,2,1,2,"4","4","3","2","3"
"31",10.1094082633053,26,"Yes","Travel_Rarely","Research & Development",4,"3","Medical",1,"Male","3","Research Scientist","Divorced",68540,2,"Y",11,8,"0",5,5,3,0,2,"1","2","3","2","3"
"32",6.70966597796143,28,"No","Travel_Rarely","Research & Development",7,"3","Other",1,"Male","1","Human Resources","Single",96370,1,"Y",13,8,"0",5,6,5,0,2,"4","4","3","2","3"
"33",10.5182146248813,49,"No","Travel_Frequently","Research & Development",1,"1","Medical",1,"Female","2","Research Scientist","Single",35910,9,"Y",13,8,"0",22,2,3,1,2,"3","1","3","3","3"
"34",6.18288751714678,36,"No","Travel_Rarely","Sales",5,"3","Technical Degree",1,"Male","3","Sales Executive","Single",54050,4,"Y",14,8,"0",10,2,8,7,7,"3","2","3","3","3"
"35",6.58638888888889,31,"No","Travel_Frequently","Research & Development",9,"4","Medical",1,"Male","1","Sales Executive","Divorced",46840,1,"Y",16,8,"1",2,4,2,2,2,"4","2","2","3","3"
"36",10.2722413793103,26,"Yes","Travel_Rarely","Research & Development",8,"3","Medical",1,"Male","2","Manager","Single",157870,1,"Y",12,8,"2",8,5,8,7,4,"4","4","3","3","3"
"37",9.98273301193756,37,"No","Travel_Frequently","Sales",9,"1","Marketing",1,"Male","1","Laboratory Technician","Married",15140,1,"Y",14,8,"0",4,3,4,1,2,"2","4","2","3","3"
"38",5.97956763285024,42,"No","Travel_Frequently","Sales",2,"2","Marketing",1,"Male","3","Research Director","Married",29560,5,"Y",13,8,"0",23,2,20,4,8,"3","2","4","3","3"
"39",6.77596793930494,18,"Yes","Travel_Rarely","Research & Development",1,"4","Life Sciences",1,"Male","1","Sales Executive","Single",23350,1,"Y",14,8,"2",0,3,0,0,0,"3","3","3","2","3"
"40",7.69016039051604,35,"No","Travel_Rarely","Sales",20,"2","Life Sciences",1,"Male","1","Laboratory Technician","Married",51540,0,"Y",19,8,"0",12,2,11,6,9,"3","2","2","2","3"
"42",7.5947695035461,51,"No","Travel_Rarely","Research & Development",2,"3","Life Sciences",1,"Male","2","Laboratory Technician","Divorced",56750,5,"Y",13,8,"0",13,2,4,1,2,"4","2","3","2","3"
"43",6.95264233241506,41,"No","Travel_Rarely","Research & Development",29,"1","Life Sciences",1,"Male","1","Laboratory Technician","Single",23790,1,"Y",12,8,"0",22,6,22,0,4,"4","2","3","3","3"
"44",7.00887847222222,18,"No","Travel_Rarely","Sales",7,"3","Life Sciences",1,"Male","1","Research Scientist","Single",38120,1,"Y",15,8,"0",0,3,0,0,0,"4","3","3","3","3"
"45",7.2015733151184,28,"No","Travel_Rarely","Research & Development",9,"3","Medical",1,"Male","1","Sales Representative","Single",46480,0,"Y",23,8,"2",9,2,8,0,7,"2","1","3","2","4"
"46",7.172875,31,"No","Travel_Rarely","Research & Development",8,"1","Technical Degree",1,"Male","1","Manufacturing Director","Married",29360,4,"Y",12,8,"1",10,2,8,7,7,"2","4","2","3","3"
"47",7.63680141843972,39,"No","Travel_Rarely","Sales",5,"4","Marketing",1,"Female","2","Human Resources","Divorced",21050,0,"Y",20,8,"0",19,3,18,3,7,"3","4","2","3","4"
"48",7.83278129395218,36,"No","Non-Travel","Research & Development",5,"4","Life Sciences",1,"Male","1","Sales Executive","Married",85780,7,"Y",21,8,"0",11,4,9,0,8,"2","2","3","3","4"
"49",6.97476505139501,32,"No","Travel_Rarely","Sales",2,"3","Marketing",1,"Male","2","Laboratory Technician","Married",27060,1,"Y",21,8,"1",13,4,13,4,8,"4","3","2","3","4"
"50",6.9064242202729,38,"No","Travel_Rarely","Research & Development",5,"2","Life Sciences",1,"Female","3","Research Scientist","Married",63840,3,"Y",19,8,"2",19,4,10,0,1,"1","2","3","2","3"
"51",10.895463728191,58,"No","Non-Travel","Research & Development",2,"3","Life Sciences",1,"Male","2","Manufacturing Director","Divorced",39680,2,"Y",13,8,"2",12,3,5,1,2,"4","3","3","2","3"
"52",9.12566572902016,31,"No","Travel_Rarely","Research & Development",20,"1","Technical Degree",1,"Female","3","Research Scientist","Married",99070,0,"Y",13,8,"1",6,3,5,0,3,"3","4","3","2","3"
"53",6.83145978614598,31,"No","Travel_Rarely","Sales",7,"4","Marketing",1,"Male","2","Sales Executive","Married",132250,3,"Y",21,8,"1",9,2,2,1,0,"1","1","3","3","4"
"54",7.31604990583804,45,"No","Travel_Frequently","Research & Development",3,"1","Medical",1,"Female","1","Sales Executive","Divorced",35400,1,"Y",13,8,"0",24,6,24,9,11,"1","1","3","3","3"
"55",8.61079804189435,31,"No","Travel_Rarely","Sales",16,"4","Marketing",1,"Female","2","Research Scientist","Divorced",28040,0,"Y",19,8,"2",3,0,2,2,2,"3","4","1","3","3"
"56",6.7848452883263,33,"No","Travel_Frequently","Research & Development",9,"3","Life Sciences",1,"Male","4","Research Director","Married",193920,6,"Y",12,8,"1",12,3,10,8,8,"4","2","3","3","3"
"57",10.9860997732426,39,"No","Travel_Rarely","Sales",1,"4","Life Sciences",1,"Male","1","Sales Executive","Married",196650,1,"Y",22,8,"1",21,6,21,11,10,"3","1","3","3","4"
"58",7.68658467939305,43,"No","Travel_Frequently","Research & Development",7,"4","Medical",1,"Male","4","Research Scientist","Single",24390,0,"Y",15,8,"0",9,2,8,1,7,"3","4","3","3","3"
"59",9.94885688157293,49,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Male","3","Manufacturing Director","Single",73140,7,"Y",22,8,"0",25,2,7,0,7,"3","3","3","3","4"
"60",7.90552766155277,52,"Yes","Travel_Rarely","Research & Development",7,"1","Life Sciences",1,"Female","2","Research Scientist","Married",47740,2,"Y",18,8,"1",11,2,8,7,7,"3","2","2","3","3"
"61",10.6724146174863,27,"No","Travel_Rarely","Research & Development",15,"4","Medical",1,"Male","3","Research Scientist","Single",39020,1,"Y",22,8,"0",4,2,4,1,2,"3","2","2","3","4"
"62",10.4961715481172,32,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Male","3","Research Scientist","Married",26620,1,"Y",11,8,"1",13,6,13,11,9,"3","2","3","4","3"
"63",10.0692616642617,27,"No","Travel_Rarely","Research & Development",13,"2","Medical",1,"Female","4","Research Director","Single",28560,1,"Y",12,8,"2",5,5,5,0,4,"4","3","3","4","3"
"64",6.6070141746685,31,"No","Travel_Rarely","Sales",24,"3","Life Sciences",1,"Male","2","Healthcare Representative","Divorced",10810,4,"Y",11,8,"3",13,4,7,1,7,"4","4","3","4","3"
"65",7.49791490857947,32,"No","Travel_Rarely","Research & Development",7,"3","Technical Degree",1,"Male","2","Healthcare Representative","Single",24720,7,"Y",13,8,"0",10,2,7,0,7,"1","4","2","3","3"
"66",10.7272357174989,28,"Yes","Travel_Rarely","Research & Development",9,"4","Medical",1,"Male","1","Sales Executive","Married",56730,5,"Y",14,8,"1",5,4,3,2,2,"1","4","2","2","3"
"67",6.18481681034483,30,"No","Travel_Rarely","Research & Development",13,"3","Life Sciences",1,"Female","4","Research Director","Married",41970,1,"Y",13,8,"0",11,3,10,1,9,"4","4","3","3","3"
"68",6.60930004894763,31,"No","Travel_Frequently","Research & Development",2,"1","Life Sciences",1,"Female","1","Manager","Married",97130,1,"Y",17,8,"0",10,5,10,8,9,"3","3","3","2","3"
"69",6.07624634502924,39,"No","Travel_Frequently","Research & Development",19,"4","Medical",1,"Female","1","Research Scientist","Married",20620,1,"Y",13,8,"0",21,4,21,13,3,"3","4","3","3","3"
"70",9.97174570912376,39,"Yes","Travel_Rarely","Research & Development",1,"1","Medical",1,"Female","1","Laboratory Technician","Married",42840,4,"Y",17,8,"1",12,0,1,0,0,"4","3","2","3","3"
"71",7.42145202020202,33,"No","Travel_Frequently","Sales",4,"2","Life Sciences",1,"Male","4","Research Scientist","Single",47880,3,"Y",11,8,"1",9,0,7,0,1,"2","4","2","3","3"
"72",6.49381001371742,47,"No","Travel_Rarely","Research & Development",4,"3","Life Sciences",1,"Female","2","Healthcare Representative","Married",59060,4,"Y",23,8,"0",21,4,3,1,1,"4","3","3","4","4"
"73",6.29947044917258,43,"No","Travel_Frequently","Research & Development",14,"3","Medical",1,"Female","5","Research Director","Divorced",38860,1,"Y",17,8,"2",9,2,9,0,0,"3","3","4","3","3"
"74",9.3169733044733,27,"No","Non-Travel","Research & Development",2,"3","Life Sciences",1,"Male","1","Research Director","Married",168230,0,"Y",17,8,"0",6,3,5,1,4,"3","2","3","3","3"
"75",6.09786278735632,54,"No","Travel_Frequently","Research & Development",1,"4","Life Sciences",1,"Male","2","Research Scientist","Single",29330,3,"Y",12,8,"2",20,2,4,0,3,"4","3","2","3","3"
"76",7.21732726423903,43,"No","Travel_Rarely","Research & Development",7,"2","Life Sciences",1,"Female","2","Manager","Married",65000,8,"Y",23,8,"0",10,3,1,0,0,"3","1","2","3","4"
"77",7.10007001836547,45,"No","Travel_Rarely","Sales",3,"1","Marketing",1,"Female","1","Sales Executive","Married",171740,9,"Y",14,8,"1",12,6,10,9,8,"4","4","3","3","3"
"78",9.91410774410774,40,"No","Travel_Rarely","Research & Development",2,"4","Other",1,"Male","4","Research Scientist","Married",50330,2,"Y",14,8,"2",6,6,4,0,2,"2","4","2","3","3"
"79",10.477788647343,29,"Yes","Travel_Rarely","Research & Development",29,"3","Medical",1,"Female","1","Research Scientist","Married",23070,1,"Y",13,8,"1",7,0,7,0,7,"2","1","2","3","3"
"80",6.90693863319386,29,"No","Travel_Rarely","Human Resources",8,"3","Medical",1,"Male","3","Sales Representative","Single",25870,0,"Y",22,8,"2",4,3,3,2,2,"2","4","3","3","4"
"81",7.58909243295019,30,"No","Travel_Rarely","Research & Development",10,"3","Life Sciences",1,"Male","2","Research Scientist","Divorced",55070,1,"Y",12,8,"2",10,2,10,1,2,"4","3","3","2","3"
"82",6.07972449908925,27,"No","Travel_Rarely","Research & Development",11,"2","Medical",1,"Male","1","Manager","Married",43930,1,"Y",18,8,"1",8,2,8,0,7,"2","2","3","2","3"
"83",6.00111228813559,37,"No","Travel_Rarely","Sales",1,"4","Life Sciences",1,"Male","2","Healthcare Representative","Divorced",133480,7,"Y",14,8,"0",8,4,6,0,4,"4","4","2","3","3"
"84",8.98312327823692,38,"No","Travel_Rarely","Research & Development",28,"4","Medical",1,"Male","1","Laboratory Technician","Divorced",65830,0,"Y",12,8,"0",12,1,11,2,9,"3","4","3","3","3"
"86",8.38752618397086,29,"No","Travel_Rarely","Research & Development",3,"4","Life Sciences",1,"Male","3","Sales Executive","Divorced",39780,1,"Y",11,8,"0",7,0,7,1,7,"4","2","3","3","3"
"87",7.91203862660944,35,"No","Travel_Rarely","Sales",16,"2","Technical Degree",1,"Male","3","Manager","Single",25440,0,"Y",13,8,"1",17,3,16,0,13,"3","2","3","4","3"
"88",7.10529184247539,23,"No","Travel_Rarely","Research & Development",20,"4","Life Sciences",1,"Male","1","Manufacturing Director","Divorced",53990,1,"Y",23,8,"0",4,2,4,0,2,"3","4","2","2","4"
"89",9.68863319386332,41,"No","Travel_Rarely","Research & Development",9,"2","Life Sciences",1,"Female","1","Laboratory Technician","Single",54870,6,"Y",19,8,"2",8,0,5,1,2,"4","2","3","3","3"
"90",7.77034751278475,47,"No","Travel_Frequently","Sales",1,"3","Medical",1,"Female","2","Laboratory Technician","Single",68340,3,"Y",16,8,"1",5,2,0,0,0,"2","3","3","4","3"
"91",6.28428035630567,42,"No","Travel_Rarely","Research & Development",3,"4","Life Sciences",1,"Male","1","Manager","Single",10910,2,"Y",22,8,"0",16,0,1,0,0,"1","4","3","1","4"
"92",6.3061087267525,29,"No","Non-Travel","Sales",22,"4","Marketing",1,"Male","2","Human Resources","Married",57360,1,"Y",22,8,"0",4,1,4,0,2,"4","3","2","2","4"
"93",8.83158503898635,42,"No","Travel_Rarely","Sales",7,"4","Medical",1,"Male","3","Research Scientist","Divorced",22260,0,"Y",12,8,"1",4,3,3,1,0,"3","3","3","2","3"
"94",7.72237734487735,32,"No","Travel_Rarely","Research & Development",2,"3","Medical",1,"Male","2","Research Scientist","Married",57470,1,"Y",13,8,"0",8,0,8,0,7,"3","2","3","3","3"
"95",7.31747973295184,48,"No","Travel_Rarely","Sales",13,"4","Medical",1,"Male","4","Sales Executive","Married",98540,3,"Y",16,8,"1",15,2,0,0,0,"1","3","1","2","3"
"96",10.7982624831309,37,"No","Travel_Rarely","Research & Development",8,"5","Technical Degree",1,"Male","2","Manufacturing Director","Divorced",54670,4,"Y",12,8,"0",13,2,7,6,7,"3","1","3","3","3"
"97",10.4013639455782,30,"No","Non-Travel","Sales",25,"4","Other",1,"Male","1","Healthcare Representative","Married",53800,7,"Y",21,8,"1",4,0,2,2,2,"4","3","4","3","4"
"98",5.99432670324646,26,"No","Travel_Rarely","Sales",28,"3","Medical",1,"Female","5","Laboratory Technician","Married",51510,1,"Y",15,8,"3",8,3,8,7,7,"3","3","3","3","3"
"99",6.11311018131102,42,"No","Travel_Rarely","Sales",2,"2","Medical",1,"Female","1","Laboratory Technician","Single",21330,3,"Y",13,8,"2",14,2,1,0,0,"1","4","3","3","3"
"100",8.13357809653916,21,"Yes","Travel_Frequently","Research & Development",9,"3","Medical",1,"Female","4","Manufacturing Director","Single",178750,1,"Y",12,8,"0",3,5,3,1,2,"1","2","3","2","3"
"101",7.30616499042146,36,"No","Non-Travel","Human Resources",28,"3","Human Resources",1,"Male","2","Laboratory Technician","Single",24320,4,"Y",22,8,"0",7,4,1,0,0,"4","4","3","1","4"
"102",7.10503034547152,36,"No","Travel_Frequently","Research & Development",6,"3","Life Sciences",1,"Female","2","Research Scientist","Married",47710,4,"Y",13,8,"1",16,2,13,1,12,"1","4","3","3","3"
"103",6.3277293144208,57,"No","Travel_Rarely","Research & Development",21,"4","Life Sciences",1,"Male","5","Research Scientist","Married",191610,2,"Y",18,8,"0",15,2,3,1,2,"4","3","3","1","3"
"104",8.1285121602289,40,"No","Travel_Rarely","Research & Development",8,"3","Other",1,"Male","2","Sales Executive","Married",50870,3,"Y",14,8,"1",10,3,7,1,7,"4","3","3","3","3"
"105",7.98643255701116,21,"No","Non-Travel","Research & Development",1,"5","Life Sciences",1,"Female","2","Manager","Single",28630,1,"Y",14,8,"0",3,2,3,2,2,"1","4","2","1","3"
"106",10.5090969215969,33,"Yes","Travel_Rarely","Human Resources",28,"2","Human Resources",1,"Female","5","Manager","Single",55610,1,"Y",21,8,"1",1,3,1,0,0,"4","3","3","1","4"
"107",7.99328403078403,37,"No","Travel_Rarely","Research & Development",5,"3","Life Sciences",1,"Male","4","Research Scientist","Married",21440,6,"Y",19,8,"0",17,3,5,0,3,"3","1","3","4","3"
"108",6.10365375243665,46,"No","Non-Travel","Sales",2,"4","Marketing",1,"Female","2","Laboratory Technician","Married",30650,2,"Y",11,8,"0",7,3,1,0,0,"3","3","4","3","3"
"109",7.58790891750119,41,"Yes","Travel_Frequently","Research & Development",16,"1","Medical",1,"Female","1","Research Scientist","Single",28100,1,"Y",11,8,"0",8,3,8,7,7,"1","2","3","4","3"
"110",6.89032125603865,50,"No","Travel_Rarely","Research & Development",9,"3","Medical",1,"Female","3","Laboratory Technician","Single",98880,6,"Y",15,8,"0",20,2,4,1,3,"4","4","3","3","3"
"111",9.29599952516619,40,"Yes","Travel_Rarely","Research & Development",8,"3","Medical",1,"Female","1","Healthcare Representative","Married",86280,2,"Y",20,8,"0",8,2,6,1,0,"3","3","3","2","4"
"113",5.99521980676329,21,"Yes","Travel_Rarely","Human Resources",10,"2","Human Resources",1,"Male","1","Laboratory Technician","Single",53730,1,"Y",12,8,"1",1,2,1,0,0,"3","2","3","3","3"
"114",7.78860997732426,29,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Female","2","Research Director","Single",66670,9,"Y",12,8,"1",6,6,3,1,2,"4","4","3","4","3"
"115",7.71770715630885,35,"No","Travel_Rarely","Research & Development",29,"3","Life Sciences",1,"Female","3","Sales Executive","Single",50030,9,"Y",15,8,"0",10,2,1,0,0,"3","2","3","3","3"
"117",7.12061422413793,28,"No","Travel_Rarely","Research & Development",2,"2","Medical",1,"Male","3","Manager","Single",28580,1,"Y",12,8,"0",7,2,7,0,7,"2","4","3","2","3"
"118",7.82519328703704,49,"No","Travel_Rarely","Sales",2,"3","Technical Degree",1,"Male","2","Manufacturing Director","Single",52040,8,"Y",14,8,"1",26,3,5,0,0,"2","3","3","3","3"
"119",7.61940180311891,51,"No","Travel_Rarely","Research & Development",1,"2","Life Sciences",1,"Male","1","Sales Executive","Married",41050,4,"Y",22,8,"1",18,2,7,0,7,"3","4","2","3","4"
"120",6.00246320037987,36,"No","Travel_Rarely","Sales",15,"2","Life Sciences",1,"Male","1","Sales Executive","Married",96790,4,"Y",12,8,"0",6,1,2,2,2,"4","3","3","3","3"
"121",9.11312647754137,34,"Yes","Non-Travel","Research & Development",7,"3","Life Sciences",1,"Male","1","Sales Representative","Single",56170,8,"Y",25,8,"1",9,3,5,0,4,"1","4","2","3","4"
"122",8.68413959510358,55,"No","Travel_Rarely","Sales",26,"3","Marketing",1,"Male","1","Laboratory Technician","Single",104480,2,"Y",13,8,"0",30,3,5,1,2,"3","4","3","3","3"
"123",9.99313164251208,24,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Female","5","Manager","Divorced",28970,1,"Y",18,8,"3",5,4,5,0,3,"4","3","4","3","3"
"124",6.90053992303992,30,"No","Travel_Rarely","Research & Development",3,"3","Life Sciences",1,"Female","2","Manager","Married",59680,1,"Y",13,8,"0",1,3,1,0,0,"3","2","3","3","3"
"126",6.28623015873016,22,"No","Travel_Rarely","Research & Development",16,"5","Other",1,"Male","1","Research Scientist","Married",29910,1,"Y",19,8,"2",2,3,2,1,2,"1","2","3","2","3"
"127",6.3661511299435,36,"No","Travel_Rarely","Research & Development",1,"3","Medical",1,"Female","5","Healthcare Representative","Married",196360,1,"Y",12,8,"1",10,3,10,9,0,"2","3","3","3","3"
"128",8.19166087962963,30,"Yes","Travel_Frequently","Sales",3,"2","Marketing",1,"Male","3","Research Scientist","Single",11290,9,"Y",19,8,"0",3,2,1,0,0,"3","4","3","2","3"
"129",6.45208912037037,37,"No","Travel_Rarely","Research & Development",10,"1","Technical Degree",1,"Male","1","Sales Executive","Divorced",133410,1,"Y",14,8,"1",18,3,18,12,17,"4","1","2","3","3"
"130",6.68298671497585,40,"No","Travel_Rarely","Research & Development",6,"2","Medical",1,"Male","3","Research Scientist","Divorced",43320,7,"Y",14,8,"2",8,3,5,1,3,"4","2","3","2","3"
"131",7.48264775413712,42,"No","Travel_Rarely","Research & Development",2,"3","Medical",1,"Female","4","Manager","Divorced",110310,3,"Y",12,8,"1",8,2,5,1,2,"2","1","3","2","3"
"132",9.92013151927438,37,"No","Travel_Rarely","Sales",9,"1","Marketing",1,"Male","3","Sales Executive","Single",44400,2,"Y",11,8,"1",18,3,1,0,1,"3","2","2","2","3"
"133",7.41563829787234,43,"No","Travel_Rarely","Sales",10,"2","Life Sciences",1,"Female","1","Sales Executive","Divorced",46170,1,"Y",11,8,"0",25,2,25,3,9,"1","2","3","3","3"
"134",7.49533846872082,40,"No","Travel_Rarely","Sales",6,"2","Life Sciences",1,"Female","1","Laboratory Technician","Married",26470,6,"Y",13,8,"0",20,2,1,0,0,"2","3","3","2","3"
"135",5.99896965247185,54,"No","Travel_Rarely","Human Resources",9,"3","Life Sciences",1,"Female","2","Manufacturing Director","Married",63230,4,"Y",23,8,"1",24,2,4,1,2,"1","1","2","2","4"
"136",6.85954534662868,34,"No","Non-Travel","Research & Development",28,"3","Medical",1,"Male","1","Laboratory Technician","Married",56770,9,"Y",20,8,"1",6,3,3,1,2,"3","3","3","3","4"
"137",6.13190972222222,31,"No","Travel_Rarely","Research & Development",10,"4","Life Sciences",1,"Male","3","Sales Executive","Married",21870,1,"Y",15,8,"1",13,2,13,3,12,"2","1","1","2","3"
"139",8.87896942110177,43,"No","Travel_Rarely","Sales",27,"4","Life Sciences",1,"Male","2","Sales Representative","Divorced",39770,4,"Y",18,8,"1",8,3,5,0,2,"3","3","3","3","3"
"140",10.8958453065134,25,"No","Travel_Rarely","Human Resources",7,"2","Human Resources",1,"Male","1","Manufacturing Director","Single",86330,1,"Y",19,8,"1",5,2,5,1,3,"2","4","3","4","3"
"141",10.692001669051,37,"No","Non-Travel","Research & Development",1,"3","Medical",1,"Male","3","Laboratory Technician","Married",20080,3,"Y",22,8,"0",15,5,13,10,7,"2","3","3","2","4"
"142",7.06031609195402,31,"No","Travel_Rarely","Research & Development",24,"1","Medical",1,"Male","3","Laboratory Technician","Married",44400,1,"Y",13,8,"1",4,2,4,3,2,"4","1","3","3","3"
"143",9.009179138322,39,"No","Travel_Frequently","Research & Development",26,"4","Technical Degree",1,"Female","1","Sales Executive","Divorced",30670,1,"Y",20,8,"1",21,5,21,1,6,"2","3","3","1","4"
"144",7.42044746629475,56,"No","Travel_Frequently","Research & Development",20,"4","Life Sciences",1,"Female","3","Sales Executive","Married",53210,9,"Y",14,8,"0",36,1,7,7,7,"3","1","2","3","3"
"145",7.58597392290249,30,"No","Travel_Rarely","Sales",5,"4","Medical",1,"Female","2","Manufacturing Director","Single",54100,0,"Y",17,8,"1",6,2,5,4,4,"2","3","3","3","3"
"146",6.6241366989396,41,"No","Travel_Rarely","Research & Development",7,"3","Technical Degree",1,"Female","3","Research Scientist","Married",27820,1,"Y",14,8,"0",10,2,10,0,7,"2","1","3","2","3"
